Date,Price,Open,High,Low,Vol.,Change %
12/20/2024,14.65,14.7,14.725,14.65,,0.00%
12/19/2024,14.65,14.7,14.765,14.6,,0.00%
12/18/2024,14.65,14.69,14.73,14.65,,0.00%
12/17/2024,14.65,14.7,14.805,14.65,,0.00%
12/16/2024,14.65,14.665,14.805,14.65,,-0.17%
12/13/2024,14.675,14.63,14.725,14.63,,0.17%
12/12/2024,14.65,14.65,15.225,14.6,,0.34%
12/11/2024,14.6,14.65,14.82,14.65,,-0.34%
12/10/2024,14.65,14.75,14.895,14.7,,-0.34%
12/09/2024,14.7,14.775,15.375,14.745,,-0.68%
12/06/2024,14.8,14.8,14.8,14.8,,0.00%
12/05/2024,14.8,14.85,15,14.75,,-0.34%
12/04/2024,14.85,15.15,15.65,14.85,,-1.66%
12/03/2024,15.1,15.2,15.26,15.05,,-0.33%
12/02/2024,15.15,15.37,15.735,15.15,,-0.33%
11/29/2024,15.2,15.4,15.45,15.2,,-0.65%
11/28/2024,15.3,15.475,15.625,15.35,,-0.97%
11/27/2024,15.45,15.5,15.915,15.45,,-0.32%
11/26/2024,15.5,15.675,15.91,15.55,,-0.96%
11/25/2024,15.65,15.85,15.925,15.7,,-0.95%
11/22/2024,15.8,15.9,16.0275,15.75,,-0.32%
11/21/2024,15.85,15.9,15.925,15.775,,0.00%
11/20/2024,15.85,15.9,16.1,15.85,,0.00%
11/19/2024,15.85,15.95,16.1,15.85,,-0.31%
11/18/2024,15.9,16.2,16.225,15.875,,-0.31%
11/15/2024,15.95,16.05,16.175,15.875,,-0.31%
11/14/2024,16,16.15,16.275,15.965,,-0.62%
11/13/2024,16.1,16.3,16.3,16.025,,-0.92%
11/12/2024,16.25,16.35,16.4,16.1,,-0.31%
11/11/2024,16.3,16.2,16.4,16.2,,0.62%
11/08/2024,16.2,16.3,16.45,16.275,,0.00%
11/07/2024,16.2,16.35,16.45,16.275,,-0.61%
11/06/2024,16.3,16.375,16.475,16.325,,0.12%
11/05/2024,16.28,16.35,16.4775,16.315,,-0.12%
11/04/2024,16.3,16.3,16.35,16.2,,0.31%
11/01/2024,16.25,16.3,16.43,16.15,,0.00%
10/31/2024,16.25,16.3,16.325,16.15,,0.00%
10/30/2024,16.25,16.26,16.35,16.075,,0.93%
10/29/2024,16.1,16.075,16.3,16.075,,-0.62%
10/28/2024,16.2,16.2,16.25,16.075,,0.93%
10/25/2024,16.05,16.14,16.265,16.06,,0.19%
10/24/2024,16.02,16.11,16.15,16.06,,-0.19%
10/23/2024,16.05,16.15,16.2,15.955,,0.63%
10/22/2024,15.95,16.1,16.175,15.975,,-0.62%
10/21/2024,16.05,16.045,16.135,15.96,,0.94%
10/18/2024,15.9,16.045,16.425,15.95,,-0.56%
10/17/2024,15.99,16,16.09,15.91,,0.25%
10/16/2024,15.95,15.915,16.07,15.905,,0.00%
10/15/2024,15.95,15.95,16.02,15.9,,0.31%
10/14/2024,15.9,15.93,15.985,15.9,,0.13%
10/11/2024,15.88,15.9,15.9825,15.87,,0.19%
10/10/2024,15.85,15.9,15.9825,15.83,,0.00%
10/09/2024,15.85,15.89,15.975,15.84,,0.06%
10/08/2024,15.84,15.89,15.975,15.825,,0.00%
10/07/2024,15.84,15.85,15.94,15.77,,0.44%
10/04/2024,15.77,15.89,15.92,15.77,,-0.06%
10/03/2024,15.78,15.82,15.98,15.77,,0.00%
10/02/2024,15.78,15.8,15.865,15.785,,0.25%
10/01/2024,15.74,15.8,15.89,15.67,,-0.06%
09/30/2024,15.75,15.84,15.865,15.695,,0.32%
09/27/2024,15.7,15.75,15.825,15.725,,0.00%
09/26/2024,15.7,15.75,15.805,15.675,,0.00%
09/25/2024,15.7,15.75,15.885,15.7,,0.00%
09/24/2024,15.7,15.7,15.85,15.675,,0.13%
09/23/2024,15.68,15.73,15.73,15.73,,0.00%
09/20/2024,15.68,15.75,15.835,15.7,,0.32%
09/19/2024,15.63,15.7,15.82,15.615,,0.06%
09/18/2024,15.62,15.7,15.74,15.67,,-0.19%
09/17/2024,15.65,15.69,15.71,15.65,,0.06%
09/16/2024,15.64,15.7,15.8,15.65,,0.00%
09/13/2024,15.64,15.67,15.825,15.64,,0.13%
09/12/2024,15.62,15.67,15.76,15.64,,0.00%
